"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Enterprise Data for Insight","DFE-2392","HEO - London","40132","42699","Higher Executive Officer - Enterprise Data for Insight HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Skills Policy Analysis​","DFE-2520","HEO (Higher Statistical Officer) - London","44424","47250","Higher Executive Officer - Skills Policy Analysis​ HEO-London","3.00","Other","London"
"Department for Education","Department for Education","Family Support","DFE-2305","HEO - London","40132","42699","Higher Executive Officer - Family Support HEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Local Accountability and Improvement","DFE-2383","EO - National","31479","31479","Executive Officer - Local Accountability and Improvement EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Families Analysis","DFE-2152","EO - National","31479","31479","Executive Officer - Families Analysis EO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Improvement and Insight","DFE-2223","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Improvement and Insight SEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Standard and Testing Agency","STA Assessment DDaT","DFE-2607","Grade 6 - National","70854","78241","Manager - STA Assessment DDaT Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Educational Engagement, Access and Wellbeing (EEAW)","DFE-2326","EO - London","35438","35438","Executive Officer - Families Analysis EO-London","1.00","Other","London"
"Department for Education","Department for Education","Funding Policy Unit","DFE-2009","EO - National","31479","31479","Executive Officer - Funding Policy Unit EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Standard and Testing Agency","Assessment Research and Development","DFE-2535","Grade 6 - National","70854","78241","Manager - Assessment Research and Development Grade 6-North West","1.00","Other","North West"
"Department for Education","Department for Education","Childcare Reform Delivery & Directorate Support","DFE-2576","Legacy Grade","1","150000","Manager - Families Analysis HEO (Position Vacate:05/10/2025)-London","1.00","Other","London"
"Department for Education","Department for Education","Customer Experience & Design","DFE-2478","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Customer Experience & Design SEO-London","1.60","Other","London"
"Department for Education","Department for Education","Central Analysis Unit","DFE-2238","HEO (Economic Assistant) - London","44424","47250","Higher Executive Officer - Central Analysis Unit HEO-London","2.55","Other","London"
"Department for Education","Department for Education","Central Analysis Unit","DFE-2238","HEO (Economic Assistant) - National","40044","42778","Higher Executive Officer - Central Analysis Unit HEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","CS Policy Profession Unit","DFE-2498","Grade 7 - National","58185","67219","Manager - CS Policy Profession Unit Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Delivery Unit","DFE-2501","Grade 7 - National","58185","67219","Manager - Delivery Unit Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","News and Social Media","DFE-2145","EA - London","30551","30551","Executive Assistant - News and Social Media EA-London","1.00","Other","London"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","SEO (Senior Economic Assistant) - National","48999","53884","Senior Executive Officer - Strategy & Intelligence SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Schools and Funding Analysis","DFE-2567","SEO (Senior Economic Assistant) - National","48999","53884","Senior Executive Officer - Schools and Funding Analysis SEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Curriculum & Assessment Review","DFE-2641","SEO (Statistical Officer) - National","48999","53884","Senior Executive Officer - Curriculum & Assessment Review SEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","HR Business Partners, Workforce Skills and Strategy","DFE-2681","SEO (Statistical Officer) - National","48999","53884","Senior Executive Officer - HR Business Partners, Workforce Skills and Strategy SEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Education Estates Legal, Land and Planning","DFE-2207","Grade 6 - National","70854","78241","Manager - Legal & Transactions Grade 6-Unknown","1.90","Other","Unknown"
"Department for Education","Department for Education","International Placements","DFE-2491","Legacy Grade","1","150000","Manager - Specialist Team Manager - Transactional Management-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","International Placements","DFE-2491","HEO - National","36000","38229","Higher Executive Officer - Grant Manager HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","International Placements","DFE-2491","Legacy Grade","1","150000","Manager - Grant Officer-Unknown","6.40","Other","Unknown"
"Department for Education","Department for Education","Schools Productivity Unit","DFE-2651","Legacy Grade","1","150000","Manager - Senior Marketing & Communications Manager-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","International Placements","DFE-2491","Legacy Grade","1","150000","Manager - Finance Manager-Unknown","0.80","Other","Unknown"
"Department for Education","Department for Education","International Placements","DFE-2491","HEO - National","36000","38229","Higher Executive Officer - International Placements HEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","International Placements","DFE-2491","Legacy Grade","1","150000","Manager - Senior Manager - Transactional Management-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","Policy Lab","DFE-2631","HEO - National","36000","38229","Higher Executive Officer - Policy Lab HEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","HR Organisation Design, Development & Engagement","DFE-2407","EO - National","31479","31479","Executive Officer - HR Organisation Design, Development & Engagement EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Future Student Finance and Funding​","DFE-2665","Grade 7 - National","58185","67219","Manager - Future Student Finance and Funding​ Grade 6-South West","1.00","Other","South West"
